order_item_id,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value
1,58.9,13.29,1,1,2,72.19
1,239.9,19.93,1,1,3,259.83
1,199.0,17.87,1,1,5,216.87
1,12.99,12.79,1,1,2,25.78
1,199.9,18.14,1,1,3,218.04
1,21.9,12.69,1,2,1,34.59
1,19.9,11.85,1,1,1,31.75
1,145.95,11.65,1,1,3,157.6
1,53.99,11.4,1,1,1,65.39
1,59.99,8.88,1,1,3,68.87
1,45.0,12.98,1,1,5,57.98
1,74.0,23.32,1,1,4,97.32
1,49.9,13.37,1,2,1,126.54
2,49.9,13.37,1,2,1,126.54
1,99.9,27.65,1,2,1,127.55
1,144.0,8.77,1,1,1,152.77
1,99.0,13.71,1,2,1,112.71
1,25.0,16.11,1,1,4,41.11
1,47.9,8.88,1,1,1,56.78
1,21.99,11.85,1,1,3,33.84
1,49.0,15.1,1,1,3,64.1
1,48.9,16.6,1,1,3,65.5
1,219.9,16.98,1,1,6,236.88
1,109.9,25.51,1,1,1,135.41
1,27.9,7.94,1,2,1,35.84
1,119.9,17.32,1,2,1,137.22
1,59.9,23.35,1,1,1,83.25
1,21.33,15.1,1,1,1,109.29
2,21.33,15.1,1,1,1,109.29
3,21.33,15.1,1,1,1,109.29
1,16.5,14.1,1,2,1,30.6
1,21.9,15.1,1,1,1,37.0
1,39.0,16.11,1,2,1,55.11
1,49.75,20.8,2,3,1,17.92
1,49.75,20.8,1,1,5,52.63
1,99.99,13.72,1,1,2,113.71
1,59.9,19.95,1,1,7,79.85
1,24.89,17.63,1,2,1,127.56
2,24.89,17.63,1,2,1,127.56
3,24.89,17.63,1,2,1,127.56
1,54.0,8.54,1,2,1,62.54
1,81.99,13.01,1,1,3,95.0
1,99.0,13.71,1,1,4,112.71
1,18.99,7.78,1,1,2,53.54
2,18.99,7.78,1,1,2,53.54
1,38.33,16.79,1,2,1,55.12
1,69.9,18.0,1,1,1,87.9
1,195.0,18.21,1,1,10,213.21
1,35.9,15.2,1,1,2,51.1
1,79.5,21.05,1,1,2,100.55
1,29.99,15.1,1,1,4,45.09
1,109.9,13.21,1,1,3,123.11
1,74.9,16.49,1,1,1,91.39
1,14.95,18.23,1,1,3,33.18
1,19.99,14.1,1,1,1,34.09
1,135.0,21.75,1,2,1,156.75
1,104.0,16.43,1,1,1,120.43
1,149.0,15.8,1,1,1,164.8
1,44.9,23.22,1,1,6,68.12
1,37.99,19.18,1,2,1,57.17
1,29.99,15.31,1,2,1,45.3
1,120.0,15.59,1,1,1,135.59
1,94.9,18.54,1,1,1,113.44
1,88.34,21.11,1,1,5,109.45
1,99.9,19.67,1,1,2,119.57
1,78.0,8.9,1,1,1,173.8
2,78.0,8.9,1,1,1,173.8
1,155.0,14.84,1,2,1,169.84
1,249.9,34.23,1,4,1,284.13
1,53.98,23.31,1,3,1,44.11
1,53.98,23.31,2,3,1,33.18
1,8.99,32.57,1,1,9,93.62
2,44.9,7.16,1,1,9,93.62
1,60.6,17.67,1,1,7,78.27
1,39.9,15.38,1,1,2,55.28
1,76.0,34.07,1,2,1,110.07
1,159.0,27.19,1,1,2,186.19
1,102.9,14.45,1,1,5,234.7
2,102.9,14.45,1,1,5,234.7
1,63.9,16.89,1,2,1,80.79
1,168.8,8.21,1,1,4,177.01
1,59.9,9.94,1,1,1,139.68
2,59.9,9.94,1,1,1,139.68
1,232.75,28.58,1,2,1,261.33
1,48.9,18.44,1,1,1,67.34
1,87.0,12.11,1,1,8,99.11
1,131.9,18.54,1,1,10,150.44
1,19.9,14.1,1,1,1,34.0
1,41.0,11.85,1,1,2,52.85
1,69.0,18.58,1,2,1,175.16
2,69.0,18.58,1,2,1,175.16
1,169.9,33.33,1,1,2,203.23
1,119.0,15.28,1,1,10,134.28
1,39.9,18.08,1,1,1,57.98
1,85.0,12.9,1,1,4,97.9
1,220.0,8.89,1,1,1,228.89
1,66.99,27.75,1,1,3,94.74
1,85.0,17.03,1,1,2,204.06
2,85.0,17.03,1,1,2,204.06
1,229.0,9.8,1,1,8,238.8
1,99.9,0.0,1,2,1,99.9
1,84.9,34.39,1,1,1,119.29
1,189.0,33.91,1,1,4,222.91
1,49.0,7.78,1,1,2,56.78
1,37.9,15.37,1,3,1,53.27
1,179.93,16.14,1,1,1,196.07
1,116.9,13.84,1,1,3,130.74
1,94.9,15.51,1,2,1,110.41
1,121.99,15.73,1,1,1,137.72
1,7.79,7.78,1,1,1,15.57
1,7.6,10.96,1,2,1,18.56
1,49.9,17.6,1,1,1,67.5
1,110.32,8.03,1,2,1,118.35
1,49.0,11.85,1,1,6,60.85
1,120.0,27.39,1,2,1,147.39
